epoch,step,train_loss,val_accuracy,val_f1,val_precision,val_recall
0,49,27.765661239624023,,,,
0,60,,0.6730453372001648,0.16111426055431366,0.13674524426460266,0.3449539244174957
1,99,33.44111251831055,,,,
1,121,,0.6812756657600403,0.14717058837413788,0.12282482534646988,0.3488026559352875
2,149,28.125,,,,
2,182,,0.7633745074272156,0.14027267694473267,0.11653319746255875,0.27689990401268005
3,199,25.9375,,,,
3,243,,0.7985596656799316,0.14613518118858337,0.12568315863609314,0.25549283623695374
4,249,20.0,,,,
4,299,18.48696517944336,,,,
4,304,,0.8187242150306702,0.1600339412689209,0.1584714949131012,0.22899079322814941
5,349,17.5,,,,
5,365,,0.8417695760726929,0.13203182816505432,0.13239698112010956,0.16739174723625183
6,399,13.4375,,,,
6,426,,0.8635802865028381,0.10436087101697922,0.13391338288784027,0.10641583800315857
7,449,12.1875,,,,
7,487,,0.8711934685707092,0.09120971709489822,0.13871057331562042,0.08050167560577393
8,499,12.1875,,,,
8,548,,0.8728394508361816,0.10350067913532257,0.1466274857521057,0.09273761510848999
9,549,11.875,,,,
9,599,10.625,,,,
9,609,,0.8810698986053467,0.09615877270698547,0.15956106781959534,0.07841663062572479
